id,name,code,account_type,chart_template_id/id,reconcile
account_full_100,Capital social,100,liability_non_current,l10n_ad.account_chart_template_full,False
account_full_115,Reserves per accions pròpies,115,equity,l10n_ad.account_chart_template_full,False
account_full_116,Reserva de revaloració,116,equity,l10n_ad.account_chart_template_full,False
account_full_120,Romanent,120,liability_non_current,l10n_ad.account_chart_template_full,False
account_full_121,Resultats negatius d’exercicis anteriors,121,liability_non_current,l10n_ad.account_chart_template_full,False
account_full_129,Resultat de l’exercici,129,equity_unaffected,l10n_ad.account_chart_template_full,False
account_full_130,Subvencions oficials de capital,130,liability_non_current,l10n_ad.account_chart_template_full,False
account_full_132,"Altres subvencions, donacions i llegats",132,liability_non_current,l10n_ad.account_chart_template_full,False
account_full_146,Provisió per altres responsabilitats,146,liability_non_current,l10n_ad.account_chart_template_full,True
account_full_189,Garanties financeres a llarg termini,189,liability_non_current,l10n_ad.account_chart_template_full,False
account_full_204,Propietat industrial,204,asset_fixed,l10n_ad.account_chart_template_full,False
account_full_240,Participacions a llarg termini en parts vinculades,240,asset_fixed,l10n_ad.account_chart_template_full,False
account_full_466,Remuneracions mitjançant sistemes d’aportació definida pendents de pagament,466,liability_payable,l10n_ad.account_chart_template_full,True
account_full_490,Deteriorament de valor de crèdits per operacions comercials,490,liability_current,l10n_ad.account_chart_template_full,False
account_full_551,Compte corrent amb socis i administradors,551,asset_current,l10n_ad.account_chart_template_full,False
account_full_569,Garanties financeres a curt termini,569,liability_current,l10n_ad.account_chart_template_full,False
account_full_580,Immobilitzat,580,asset_current,l10n_ad.account_chart_template_full,False
account_full_581,Inversions amb persones i entitats vinculades,581,asset_current,l10n_ad.account_chart_template_full,False
account_full_582,Inversions financeres,582,asset_current,l10n_ad.account_chart_template_full,False
account_full_583,"Existències, deutors comercials i altres comptes a cobrar",583,asset_current,l10n_ad.account_chart_template_full,False
account_full_584,Altres actius,584,asset_current,l10n_ad.account_chart_template_full,False
account_full_585,Provisions,585,liability_current,l10n_ad.account_chart_template_full,False
account_full_586,Deutes amb característiques especials,586,liability_current,l10n_ad.account_chart_template_full,False
account_full_587,Deutes amb persones i entitats vinculades,587,liability_current,l10n_ad.account_chart_template_full,False
account_full_588,Creditors comercials i altres comptes a pagar,588,liability_current,l10n_ad.account_chart_template_full,False
account_full_589,Altres passius,589,liability_current,l10n_ad.account_chart_template_full,False
account_full_599,Deteriorament de valor d’actius no corrents mantinguts per a la venda,599,asset_current,l10n_ad.account_chart_template_full,False
account_full_643,Retribucions a llarg termini mitjançant sistemes d’aportació definida,643,expense,l10n_ad.account_chart_template_full,False
account_full_650,Pèrdues de crèdits comercials incobrables,650,expense,l10n_ad.account_chart_template_full,False
account_full_659,Altres pèrdues de gestió corrent,659,expense,l10n_ad.account_chart_template_full,False
account_full_663,"Pèrdues per venda, venciment o valoració d’instruments financers pel seu valor raonable",663,expense,l10n_ad.account_chart_template_full,False
account_full_671,Pèrdues procedents de l’immobilitzat tangible,671,expense,l10n_ad.account_chart_template_full,False
account_full_691,Pèrdues per deteriorament de l’immobilitzat tangible,691,expense,l10n_ad.account_chart_template_full,False
account_full_694,Pèrdues per deteriorament de crèdits per operacions comercials,694,expense,l10n_ad.account_chart_template_full,False
account_full_763,"Beneficis per venda, venciment o valoració d’instruments financers pel seu valor raonable",763,income,l10n_ad.account_chart_template_full,False
account_full_791,Reversió del deteriorament de l’immobilitzat tangible,791,income,l10n_ad.account_chart_template_full,False
account_full_794,Reversió del deteriorament de crèdits per operacions comercials,794,income,l10n_ad.account_chart_template_full,False
account_full_795,Excés de provisions,795,income,l10n_ad.account_chart_template_full,False
